batch_size,avg_latency_ms,peak_memory_mb
371,123.688,2687.56
372,122.759,2687.56
373,122.885,2687.56
374,123.704,2689.56
375,124.506,2689.56
376,123.706,2689.56
377,123.693,2689.56
378,124.952,2691.56
379,125.007,2689.56
380,124.608,2693.56
381,124.263,2637.56
382,124.572,2691.56
383,124.362,2691.56
384,125.305,2693.56
385,126.711,2695.56
386,126.446,2639.56
387,126.291,2695.56
388,126.96,2695.56
389,127.039,2641.56
390,127.221,2695.56
391,127.476,2645.56
392,127.238,2645.56
393,127.246,2699.56
394,127.674,2699.56
395,127.717,2699.56
396,128.673,2645.56
397,128.821,2699.56
398,129.446,2701.56
399,129.831,2647.56
400,129.448,2649.56
401,129.292,2649.56
402,128.94,2649.56
403,129.246,2651.56
404,129.378,2651.56
405,129.827,2653.56
406,129.543,2653.56
407,130.373,2651.56
408,130.624,2655.56
409,130.738,2655.56
410,131.193,2655.56
411,130.457,2711.56
412,131.158,2657.56
413,131.519,2655.56
414,131.149,2657.56
415,131.834,2657.56
416,132.276,2657.56
417,132.382,2711.56
418,132.315,2715.56
419,132.022,2659.56
420,133.869,2713.56
421,134.454,2653.56
422,134.555,2715.56
423,134.763,2715.56
424,134.775,2661.56
425,134.84,2717.56
426,135.15,2663.56
427,135.167,2719.56
428,135.496,2717.56
429,134.642,2719.56
430,135.023,2721.56
431,135.429,2665.56
432,135.622,2723.56
433,136.248,2723.56
434,136.311,2721.56
435,136.527,2669.56
436,136.887,2671.56
437,137.305,2669.56
438,136.882,2669.56
439,138.736,2727.56
440,138.585,2725.56
441,138.248,2725.56
442,138.563,2725.56
443,138.405,2673.56
444,138.562,2675.56
445,140.38,2665.56
446,139.925,2729.56
447,139.69,2673.56
448,140.257,2675.56
449,140.206,2669.56
450,140.279,2669.56
451,140.26,2669.56
452,139.806,2671.56
453,139.479,2679.56
454,140.151,2735.56
455,141.067,2733.56
456,140.923,2733.56
457,140.823,2735.56
458,140.447,2681.56
459,140.949,2735.56
460,140.926,2737.56
461,142.021,2737.56
462,142.259,2737.56
463,142.217,2739.56
464,142.079,2739.56
465,142.579,2739.56
466,142.712,2687.56
467,142.099,2687.56
468,142.717,2681.56
469,142.148,2741.56
470,143.012,2741.56
471,142.549,2743.56
472,143.504,2743.56
473,143.463,2743.56
474,143.48,2689.56
475,144.37,2685.56
476,143.436,2745.56
477,144.572,2747.56
478,144.31,2747.56
479,144.731,2747.56
480,144.616,2747.56
481,145.318,2749.56
482,145.297,2749.56
483,145.007,2751.56
484,145.078,2691.56
485,145.589,2691.56
486,145.396,2751.56
487,145.955,2753.56
488,146.078,2699.56
489,146.475,2693.56
490,146.123,2755.56
491,146.271,2753.56
492,146.522,2755.56
493,147.151,2755.56
494,148.095,2703.56
495,147.84,2697.56
496,147.906,2703.56
497,148.19,2697.56
498,148.915,2699.56
499,149.878,2759.56
500,149.287,2707.56
501,148.643,2705.56
502,149.197,2763.56
503,148.969,2699.56
504,149.824,2763.56
505,150.907,2763.56
506,151.487,2711.56
507,151.102,2711.56
508,151.398,2765.56
509,150.908,2713.56
510,150.77,2713.56
511,151.082,2765.56
512,151.377,2711.56
513,151.715,2767.56
514,151.427,2713.56
515,151.127,2713.56
516,152.546,2715.56
517,152.43,2711.56
518,152.265,2717.56
519,152.706,2771.56
520,152.99,2771.56
521,152.871,2719.56
522,153.456,2773.56
523,153.567,2775.56
524,154.423,2721.56
525,153.444,2775.56
526,154.517,2721.56
527,154.045,2775.56
528,154.566,2775.56
529,154.899,2723.56
530,154.794,2725.56
531,155.141,2723.56
532,155.147,2723.56
533,155.643,2727.56
534,155.564,2779.56
535,185.204,4829.56
536,186.381,4827.56
537,186.503,4829.56
538,186.045,4831.56
539,186.258,4777.56
540,186.732,4831.56
541,187.235,4831.56
542,186.308,4831.56
543,187.222,4833.56
544,187.068,4781.56
545,186.695,4779.56
546,187.245,4835.56
547,188.513,4837.56
548,187.253,4777.56
549,188.511,4781.56
550,188.698,4781.56
551,189.15,4837.56
552,189.889,4783.56
553,190.907,4777.56
554,190.61,4841.56
555,189.379,4839.56
556,189.29,4839.56
557,186.999,4839.56
558,189.487,4841.56
559,190.097,4783.56
560,190.498,4841.56
561,191.759,4781.56
562,190.874,4843.56
563,189.359,4783.56
564,191.929,4843.56
565,191.457,4785.56
566,191.284,4785.56
567,191.307,4791.56
568,191.786,4847.56
569,193.223,4847.56
570,193.369,4847.56
571,192.915,4793.56
572,191.523,4851.56
573,192.286,4849.56
574,191.989,4849.56
575,192.396,4797.56
576,194.374,4797.56
577,195.141,4851.56
578,195.936,4797.56
579,195.415,4855.56
580,194.427,4799.56
581,195.072,4793.56
582,195.818,4857.56
583,196.292,4801.56
584,195.773,4857.56
585,195.653,4803.56
586,195.767,4857.56
587,196.385,4857.56
588,196.534,4857.56
589,196.789,4807.56
590,197.635,4861.56
591,197.17,4859.56
592,196.843,4805.56
593,197.296,4809.56
594,196.757,4861.56
595,197.032,4861.56
596,197.015,4811.56
597,197.946,4863.56
598,197.828,4803.56
599,198.806,4809.56
600,200.136,4811.56
601,197.502,4813.56
602,199.92,4865.56
603,199.481,4807.56
604,200.84,4867.56
605,199.666,4867.56
606,199.98,4867.56
607,198.736,4817.56
608,198.925,4869.56
609,198.458,4869.56
610,199.942,4815.56
611,200.493,4819.56
612,201.948,4819.56
613,198.006,4811.56
614,198.938,4821.56
615,201.556,4821.56
616,201.424,4873.56
617,202.013,4875.56
618,202.747,4821.56
619,203.376,4823.56
620,203.033,4877.56
621,204.118,4817.56
622,203.987,4877.56
623,203.318,4817.56
624,204.063,4825.56
625,204.015,4827.56
626,203.78,4879.56
627,204.309,4883.56
628,204.095,4819.56
629,205.011,4881.56
630,204.269,4881.56
631,205.552,4821.56
632,205.332,4883.56
633,204.748,4831.56
634,205.23,4833.56
635,205.723,4885.56
636,205.611,4885.56
637,206.228,4885.56
638,205.92,4887.56
639,205.973,4835.56
640,206.508,4887.56
641,207.024,4835.56
642,207.809,4889.56
643,207.497,4835.56
644,207.563,4835.56
645,208.479,4893.56
646,207.82,4891.56
647,208.858,4893.56
648,208.116,4835.56
649,208.874,4893.56
650,207.43,4893.56
651,205.16,4893.56
652,208.336,4895.56
653,207.879,4897.56
654,207.373,4897.56
655,206.964,4899.56
656,205.944,4897.56
657,209.082,4843.56
658,206.199,4841.56
659,207.305,4845.56
660,208.356,4901.56
661,211.996,4843.56
662,212.334,4901.56
663,209.857,4901.56
664,209.739,4847.56
665,212.176,4841.56
666,213.466,4841.56
667,210.598,4905.56
668,211.021,4849.56
669,216.2,4905.56
670,216.186,4845.56
671,217.498,4905.56
672,218.637,4905.56
673,218.412,4909.56
674,218.535,4907.56
675,217.901,4907.56
676,217.337,4855.56
677,218.999,4909.56
678,219.679,4909.56
679,219.453,4909.56
680,219.856,4911.56
681,219,4859.56
682,220.583,4859.56
683,216.582,4861.56
684,216.822,4913.56
685,220.069,4857.56
686,220.522,4859.56
687,220.672,4915.56
688,220.796,4863.56
689,217.907,4915.56
690,221.339,4917.56
691,221.126,4919.56
692,219.833,4863.56
693,221.032,4859.56
694,222.386,4865.56
695,221.68,4919.56
696,221.093,4919.56
697,222.905,4865.56
698,222.438,4921.56
699,223.802,4869.56
700,223.737,4861.56
701,223.856,4871.56
702,223.859,4923.56
703,224.918,4923.56
704,223.479,4927.56
705,224.003,4871.56
706,223.72,4925.56
707,224.347,4925.56
708,224.208,4929.56
709,222.936,4873.56
710,225.132,4867.56
711,226.396,4929.56
712,224.715,4877.56
713,224.852,4873.56
714,226.826,4875.56
715,225.532,4931.56
716,226.481,4931.56
717,227.363,4879.56
718,226.284,4935.56
719,227.717,4933.56
720,226.962,4933.56
721,226.884,4935.56
722,229.086,4935.56
723,227.635,4935.56
724,228.26,4935.56
725,226.164,4937.56
726,226.537,4937.56
727,229.382,4939.56
728,229.029,4887.56
729,230.349,4939.56
730,229.832,4939.56
731,229.937,4939.56
732,229.618,4941.56
733,231.037,4889.56
734,230.793,4941.56
735,231.918,4943.56
736,228.851,4883.56
737,228.836,4943.56
738,228.496,4943.56
739,231.012,4885.56
740,231.583,4885.56
741,230.497,4885.56
742,234.292,4887.56
743,233.022,4893.56
744,231.874,4947.56
745,230.774,4885.56
746,233.6,4949.56
747,233.424,4949.56
748,233.593,4949.56
749,233.688,4951.56
750,234.254,4951.56
751,234.911,4951.56
752,233.81,4893.56
753,233.851,4899.56
754,234.95,4901.56
755,233.502,4899.56
756,234.376,4955.56
757,234.446,4893.56
758,235.395,4955.56
759,234.517,4955.56
760,235.127,4957.56
761,237.168,4957.56
762,235.575,4957.56
763,235.263,4903.56
764,236.625,4899.56
765,235.256,4961.56
