batch_size,avg_latency_ms,peak_memory_mb
982,551.81,13179.6
983,550.01,13181.6
984,556.715,13181.6
985,549.769,13181.6
986,547.361,13183.6
987,555.859,13183.6
988,553.008,13183.6
989,551.904,13183.6
990,554.13,13185.6
991,556.883,13185.6
992,550.163,13185.6
993,550.813,13187.6
994,552.86,13187.6
995,555.847,13187.6
996,555.108,13187.6
997,561.248,13189.6
998,554.183,13189.6
999,555.853,13189.6
1000,557.667,13191.6
1001,554.233,13191.6
1002,557.22,13191.6
1003,556.457,13191.6
1004,556.457,13193.6
1005,557.206,13193.6
1006,560.834,13193.6
1007,559.506,13195.6
1008,556.595,13195.6
1009,558.102,13195.6
1010,563.466,13195.6
1011,560.182,13197.6
1012,560.96,13197.6
1013,559.723,13197.6
1014,561.846,13199.6
1015,554.271,13199.6
1016,558.845,13199.6
1017,562.027,13199.6
1018,564.275,13201.6
1019,565.296,13201.6
1020,564.624,13201.6
1021,561.373,13203.6
1022,558.643,13203.6
1023,563.49,13203.6
1024,563.762,13203.6
