batch_size,avg_latency_ms,peak_memory_mb
755,1019.68,8927.56
756,1019,8925.56
757,1021.36,8929.56
758,1022.5,8929.56
759,1023.17,8929.56
760,1026.04,8931.56
761,1025.55,8927.56
762,1027.63,8927.56
763,1029.97,8941.56
764,1030.03,8941.56
765,1033.45,8933.56
766,1034.37,8929.56
767,1034.94,8931.56
768,1037.24,8931.56
769,1037.51,8931.56
770,1037.58,8945.56
771,1039.99,8937.56
772,1041.58,8933.56
773,1042.86,8933.56
774,1043.08,8947.56
775,1045.45,8947.56
776,1047.14,8939.56
777,1046.71,8941.56
778,1048.33,8949.56
779,1050.28,8941.56
780,1050.36,8937.56
781,1051.36,8951.56
782,1053,8939.56
783,1056.94,8943.56
784,1058.19,8953.56
785,1058.72,8945.56
786,1060.45,8953.56
787,1061.99,8945.56
788,1062.76,8943.56
789,1063.13,8955.56
790,1065.08,8947.56
791,1065.57,8957.56
792,1067.1,8957.56
793,1069.03,8945.56
794,1069.3,8957.56
795,1071.07,8947.56
796,1071.87,8959.56
797,1072.12,8959.56
798,1074.87,8949.56
799,1075.32,8957.56
800,1077.68,8949.56
801,1078.94,8949.56
802,1080.64,8963.56
803,1083.21,8951.56
804,1084.36,8963.56
805,1084.94,8965.56
806,1085.75,8965.56
807,1087.91,8957.56
808,1087.99,8965.56
809,1089.86,8959.56
810,1090.21,8959.56
811,1092.16,8967.56
812,1092.98,8961.56
813,1094.32,8961.56
814,1095.32,8961.56
815,1096.21,8957.56
816,1097.54,8959.56
817,1097.96,8963.56
818,1100.32,8971.56
819,1102.88,8961.56
820,1105.59,8961.56
821,1106.26,8965.56
822,1106.53,8967.56
823,1107.47,8967.56
824,1108.27,8975.56
825,1109.34,8967.56
826,1111.12,8965.56
827,1113.09,8965.56
828,1113.63,8965.56
829,1115.75,8967.56
830,1116.6,8971.56
831,1117.57,8967.56
832,1115.89,6931.56
833,1116.45,6925.56
834,1118.48,6925.56
835,1118.97,6925.56
836,1120.62,6927.56
837,1123.82,6923.56
838,1126.1,6923.56
839,1126.2,6923.56
840,1126.85,6929.56
841,1129.72,6925.56
842,1130.79,6925.56
843,1131.73,6931.56
844,1132.69,6927.56
845,1133.92,6939.56
846,1135.36,6927.56
847,1135.53,6929.56
848,1136.24,6933.56
849,1138.03,6929.56
850,1138.88,6931.56
851,1141.66,6935.56
852,1142.76,6931.56
853,1143.04,6935.56
854,1143.19,6945.56
855,1144.95,6937.56
856,1147.99,6933.56
857,1149.37,6947.56
858,1151.33,6947.56
859,1152.71,6939.56
860,1155.09,6939.56
861,1155.05,6941.56
862,1156.07,6937.56
863,1157.75,6941.56
864,1158.33,6943.56
865,1160.79,6943.56
866,1161.06,6943.56
867,1162.69,6943.56
